club_id,club_key,club_name,group_title,old_chat_id,current_chat_id,status
4,clubgto,ClubGTO,Bunny,-5218622432,-1003923006895,migrated
4,clubgto,ClubGTO,ClubGTO & 5675JM,-5198400346,-1003718067273,migrated
4,clubgto,ClubGTO,ClubGTO & Bryan,-5216510807,-1003548918902,migrated
4,clubgto,ClubGTO,ClubGTO & Dominictor,-5223563282,-1003716168456,migrated
4,clubgto,ClubGTO,ClubGTO & israel,-5167624131,-1003595044394,migrated
4,clubgto,ClubGTO,ClubGTO & J,-5229716525,-1003811610060,migrated
4,clubgto,ClubGTO,ClubGTO & Jose,-5177161224,-1003560981174,migrated
4,clubgto,ClubGTO,ClubGTO & Liam,-5246370240,-1003941327293,migrated
4,clubgto,ClubGTO,ClubGTO & Mauro,-5260869057,-1003997144776,migrated
4,clubgto,ClubGTO,ClubGTO & Mauro,-5220732091,-1003997144776,migrated
4,clubgto,ClubGTO,ClubGTO & Mitra,-5260142125,-1003839178240,migrated
4,clubgto,ClubGTO,ClubGTO & Rob,-5126735015,-1003940236676,migrated
4,clubgto,ClubGTO,"ClubGTO, ADD TO ALL GROUPCHATS!!! (VGTO backup account) and GG Support",-5135077084,-1003917771487,migrated
4,clubgto,ClubGTO,"ClubGTO, ADD TO ALL GROUPCHATS!!! (VGTO backup account), Joeshmow and GG Support",-5262275163,-1003962133145,migrated
4,clubgto,ClubGTO,"ClubGTO, ADD TO ALL GROUPCHATS!!! (VGTO backup account), Toni and GG Support",-5166800166,-1003869090363,migrated
4,clubgto,ClubGTO,"ClubGTO, dr.shaykh aghaei, ADD TO ALL GROUPCHATS!!! (VGTO backup account) and GG Support",-4931518319,-1003755480822,migrated
4,clubgto,ClubGTO,"ClubGTO, EL AMOR DE, ADD TO ALL GROUPCHATS!!! (VGTO backup account) and GG Support",-5045985546,-1004299374451,migrated
4,clubgto,ClubGTO,"ClubGTO, GG Support and ADD TO ALL GROUPCHATS!!! (VGTO backup account)",-5133118701,-1003988751198,migrated
