club_id,club_key,club_name,group_title,old_chat_id,current_chat_id,status
3,creator_club,Creator Club,( Restricted until May 20) CC / 6838-2673 / More,-5118135358,-1003779829329,migrated
3,creator_club,Creator Club,AT / 8260-4655 / Brent Jones,-4959004916,-1003974890209,migrated
3,creator_club,Creator Club,CC / / Jay,-5132491185,-1003537626334,migrated
3,creator_club,Creator Club,CC / /Joey,-5224133897,-1003799370869,migrated
3,creator_club,Creator Club,CC / /S,-5159300976,-1003962296252,migrated
3,creator_club,Creator Club,CC / 1044-1539 / Joey,-5192940699,-1003620740506,migrated
3,creator_club,Creator Club,CC / 1056-0803 / Pasquale,-5264935821,-1003836971163,migrated
3,creator_club,Creator Club,CC / 1196-6454 / Parker Perren,-5139169853,-1003908363364,migrated
3,creator_club,Creator Club,CC / 1199-4499 /Will,-4966682337,-1004296821835,migrated
3,creator_club,Creator Club,CC / 1202-8058 / Hoptowitvance,-5250024995,-1003965238246,migrated
3,creator_club,Creator Club,CC / 1233-2904 / Luka,-5252965450,-1003627003168,migrated
3,creator_club,Creator Club,CC / 1253-9958 / Timmy,-5123378296,-1003779666233,migrated
3,creator_club,Creator Club,CC / 1328-1621 / Holden Hjemvick,-5108108484,-1003840588942,migrated
3,creator_club,Creator Club,CC / 1356-4595 / Quinn,-5141511462,-1003911516155,migrated
3,creator_club,Creator Club,CC / 1362-4982 / J,-5005710521,-1004293921543,migrated
3,creator_club,Creator Club,CC / 1487-4761 / Eddie,-4872965827,-1003946514969,migrated
3,creator_club,Creator Club,CC / 1493-2387 / David,-5188054902,-1003907003448,migrated
3,creator_club,Creator Club,CC / 1566-9083 / Ro,-5112985534,-1003959568368,migrated
3,creator_club,Creator Club,CC / 1579-0329 / John,-4997996930,-1003980368628,migrated
3,creator_club,Creator Club,CC / 1613-5878 / JP S,-4877539517,-1003978087226,migrated
3,creator_club,Creator Club,CC / 1710-2084 / Jameson Clark,-5076983625,-1003715217111,migrated
3,creator_club,Creator Club,CC / 1710-2990 / Lucas Bladen,-5125837842,-1003928800207,migrated
3,creator_club,Creator Club,CC / 1720-9017 / Luke Resz,-5108459529,-1003978221650,migrated
3,creator_club,Creator Club,CC / 1852-5710 / Ocean,-5109684213,-1003637863169,migrated
3,creator_club,Creator Club,CC / 1887-9514/ Aiden,-4804932169,-1003856877978,migrated
3,creator_club,Creator Club,CC / 1967-7364 / Nikolas,-5120455893,-1003849645282,migrated
